asset_path,asset_kind,size_bytes,sha256_16
assets/glb/headquarters/SW_HQ_001_the_aerie_of_oaths.glb,headquarters,125452,2ba30c030c581944
assets/glb/npcs/SW_NPC_001_ari_stormvale.glb,npc_character,32396,9563f0675b265ce4
assets/glb/npcs/SW_NPC_002_belan_aerieson.glb,npc_character,73476,b6c077b4d9cee6fd
assets/glb/npcs/SW_NPC_003_cyra_brightmast.glb,npc_character,35152,b6df61d4e12b8596
assets/glb/npcs/SW_NPC_004_damak_skyrill.glb,npc_character,73600,3d258123fe09d075
assets/glb/npcs/SW_NPC_005_elowen_noxwind.glb,npc_character,38344,277525355cad47e0
assets/glb/npcs/SW_NPC_006_fenn_glasswake.glb,npc_character,43988,bfe37a26848b80fb
assets/glb/npcs/SW_NPC_007_ghara_ironwake.glb,npc_character,36112,c395ad6deea6ffd4
assets/glb/npcs/SW_NPC_008_hesh_sparkline.glb,npc_character,72240,afbaebc5720ceba8
assets/glb/npcs/SW_NPC_009_ilyra_galesong.glb,npc_character,37128,e434e7130030f523
assets/glb/npcs/SW_NPC_010_joric_firemast.glb,npc_character,72336,b7a5b3ab59547a95
assets/glb/npcs/SW_NPC_011_kael_quillspire.glb,npc_character,38400,168f075be98a1d6b
assets/glb/npcs/SW_NPC_012_luma_voidson.glb,npc_character,36912,33b3bef6012e7b49
assets/glb/npcs/SW_NPC_013_mavik_driftforge.glb,npc_character,74676,0517111908113440
assets/glb/npcs/SW_NPC_014_nyra_aethermark.glb,npc_character,74460,99bc86cd7aa4f8fe
assets/glb/npcs/SW_NPC_015_orren_stormvale.glb,npc_character,36952,e5c6712b21824234
assets/glb/npcs/SW_NPC_016_pell_aerieson.glb,npc_character,36240,fd653c109cd525d1
assets/glb/npcs/SW_NPC_017_quen_brightmast.glb,npc_character,34176,9418a9ba6eeaacb5
assets/glb/npcs/SW_NPC_018_rava_skyrill.glb,npc_character,74596,f474f255130be200
assets/glb/npcs/SW_NPC_019_solis_noxwind.glb,npc_character,36232,eeeef7ad40959df7
assets/glb/npcs/SW_NPC_020_tavi_glasswake.glb,npc_character,36832,c94e45e17377a69a
assets/glb/npcs/SW_NPC_021_uren_rootwing.glb,npc_character,41776,52e076fae339a531
assets/glb/npcs/SW_NPC_022_vexa_sparkline.glb,npc_character,45472,1f4d22ad085556c0
