pack_number,zip,pack_name,class,subclass,specialization,ability,monster,boss,support_npc,weather,terrain,sun_variant,glb_modules,texture_png,audio_wav,config_docs,size_bytes
1073,1073_packmaster_alpha_s_command_combat_magic_upgrade_1073.zip,Packmaster Alpha's Command Combat Magic Upgrade 1073,Packmaster,Alpha-Handler,Territorial Divide,Alpha's Command,The Nexus Swarmers,The Resonant Behemoth,The Grand Archivist,acid rain,glass shard soundwave,eclipse violet rim,8,12,5,11,83630
1074,1074_orbital_striker_orbital_singularity_combat_magic_upgrade_1074.zip,Orbital Striker Orbital Singularity Combat Magic Upgrade 1074,Orbital Striker,Thruster-Junkie,Satellite Painting,Orbital Singularity,The Sylvan Juggernaut,The Data-Forged Evolvarch,Tidespeaker Nami,snow squall,root snare,storm green cast,8,12,5,11,86784
1075,1075_scrap_tek_wrecking_ball_combat_magic_upgrade_1075.zip,Scrap-Tek Wrecking Ball Combat Magic Upgrade 1075,Scrap-Tek,Field-Mechanic,Piston-Strike,Wrecking Ball,The Gnarl-Maws,The Resonance Maestro,Beastmaster Thorne,zero-g starstorm,starfield dust,molten red noon,8,12,5,11,95400
1076,1076_kinetic_juggernaut_dual_release_combat_magic_upgrade_1076.zip,Kinetic Juggernaut Dual Release Combat Magic Upgrade 1076,Kinetic Juggernaut,Seismic Brawler,Aggro Manipulation,Dual Release,The Aegis Carapace,The Syndicate Lich,Director Vance,fog bank,glass shard soundwave,deep-water cyan bloom,8,12,5,11,126306
1077,1077_phantom_shift_reality_shatter_combat_magic_upgrade_1077.zip,Phantom-Shift Reality Shatter Combat Magic Upgrade 1077,Phantom-Shift,Neural-Linker,Momentum Drift,Reality Shatter,The Tremor-Fiend,The Apex Chimera,The Grand Archivist,tidal surge,root snare,archive white-gold,8,12,5,11,86304
1078,1078_sylvan_warden_master_gardener_combat_magic_upgrade_1078.zip,Sylvan Warden Master Gardener Combat Magic Upgrade 1078,Sylvan Warden,Apex Flora,The Overgrowth,Master Gardener,The Scrap-Stalker,The Astral Sovereign,Tidespeaker Nami,clear dawn,starfield dust,void blacklight sun,8,12,5,11,126729
1079,1079_flux_caster_stance_dance_combat_magic_upgrade_1079.zip,Flux-Caster Stance Dance Combat Magic Upgrade 1079,Flux-Caster,Geo-Mage,Crystal Carapace,Stance Dance,The Grid-Rushers,The Null Anomaly,Beastmaster Thorne,amber dusk,glass shard soundwave,festival magenta sun,8,12,5,11,109271
1080,1080_protocol_weaver_structural_rewrite_combat_magic_upgrade_1080.zip,Protocol Weaver Structural Rewrite Combat Magic Upgrade 1080,Protocol Weaver,EPI-Savant,Structural Revision,Structural Rewrite,The Siphon-Ticks,The Ivory Behemoth,Director Vance,acid rain,root snare,cold blue sunrise,8,12,5,11,109620
1081,1081_apex_mutator_dna_siphon_combat_magic_upgrade_1081.zip,Apex Mutator DNA Siphon Combat Magic Upgrade 1081,Apex Mutator,Biomech Beast,Cyber-Strike,DNA Siphon,The Venom-Spitter,The Ascendant Colossus,The Grand Archivist,snow squall,starfield dust,golden sanctuary sun,8,12,5,11,126449
1082,1082_resonant_acoustic_counter_combat_magic_upgrade_1082.zip,Resonant Acoustic Counter Combat Magic Upgrade 1082,Resonant,Tempo-Weaver,Low-Frequency Disruption,Acoustic Counter,Nexus Warden,The Resonant Behemoth,Tidespeaker Nami,zero-g starstorm,glass shard soundwave,ash-orange glare,8,12,5,11,108357
1083,1083_packmaster_launching_bite_combat_magic_upgrade_1083.zip,Packmaster Launching Bite Combat Magic Upgrade 1083,Packmaster,Feral Vanguard,Coordinated Assault,Launching Bite,The Void Anomaly,The Data-Forged Evolvarch,Beastmaster Thorne,fog bank,root snare,eclipse violet rim,8,12,5,11,83723
1084,1084_orbital_striker_the_grav_lift_combat_magic_upgrade_1084.zip,Orbital Striker The Grav-Lift Combat Magic Upgrade 1084,Orbital Striker,Grav-Architect,Meteor Crash,The Grav-Lift,The Scrap-Phalanx,The Resonance Maestro,Director Vance,tidal surge,starfield dust,storm green cast,8,12,5,11,86688
1085,1085_scrap_tek_junkyard_turret_combat_magic_upgrade_1085.zip,Scrap-Tek Junkyard Turret Combat Magic Upgrade 1085,Scrap-Tek,Shock-Jockey,Shrapnel Storm,Junkyard Turret,The Iron-Jaw Hound,The Syndicate Lich,The Grand Archivist,clear dawn,glass shard soundwave,molten red noon,8,12,5,11,96129
1086,1086_kinetic_juggernaut_gravity_well_combat_magic_upgrade_1086.zip,Kinetic Juggernaut Gravity Well Combat Magic Upgrade 1086,Kinetic Juggernaut,Inertia Bastion,The Stampede,Gravity Well,The Nexus Swarmers,The Apex Chimera,Tidespeaker Nami,amber dusk,root snare,deep-water cyan bloom,8,12,5,11,125558
1087,1087_phantom_shift_chrono_collapse_combat_magic_upgrade_1087.zip,Phantom-Shift Chrono-Collapse Combat Magic Upgrade 1087,Phantom-Shift,Glass-Cannon,Temporal Stutter,Chrono-Collapse,The Sylvan Juggernaut,The Astral Sovereign,Beastmaster Thorne,acid rain,starfield dust,archive white-gold,8,12,5,11,87590
